alpha,Edge_0_initial,Edge_0_final,Edge_0_usage,Edge_1_initial,Edge_1_final,Edge_1_usage,Edge_2_initial,Edge_2_final,Edge_2_usage,Edge_3_initial,Edge_3_final,Edge_3_usage,Edge_4_initial,Edge_4_final,Edge_4_usage,Edge_5_initial,Edge_5_final,Edge_5_usage,Edge_6_initial,Edge_6_final,Edge_6_usage,Edge_7_initial,Edge_7_final,Edge_7_usage,Edge_8_initial,Edge_8_final,Edge_8_usage,Edge_9_initial,Edge_9_final,Edge_9_usage,Edge_10_initial,Edge_10_final,Edge_10_usage,Edge_11_initial,Edge_11_final,Edge_11_usage,Edge_12_initial,Edge_12_final,Edge_12_usage,Edge_13_initial,Edge_13_final,Edge_13_usage,Edge_14_initial,Edge_14_final,Edge_14_usage
0.5,79147,41062,48,79147,45008,43,79147,43987,44,79147,40811,48,79147,50141,37,79147,51694,35,79147,14515,82,79147,54397,31,79147,22908,71,79147,67932,14,79147,2321,97,79147,28519,64,79147,2525,97,79147,38115,52,79147,2879,96
0.5,79147,28356,64,79147,48525,39,79147,21562,73,79147,66115,16,79147,34657,56,79147,53285,33,79147,27669,65,79147,54415,31,79147,34260,57,79147,49508,37,79147,2167,97,79147,16228,79,79147,3162,96,79147,52541,34,79147,1524,98
0.5,79147,47240,40,79147,68732,13,79147,9263,88,79147,60509,24,79147,38365,52,79147,63394,20,79147,42882,46,79147,65361,17,79147,17949,77,79147,42148,47,79147,430,99,79147,19967,75,79147,1885,98,79147,49912,37,79147,946,99
0.5,79147,47450,40,79147,73812,7,79147,20808,74,79147,55036,30,79147,32452,59,79147,52207,34,79147,34178,57,79147,57110,28,79147,32354,59,79147,55571,30,79147,1099,99,79147,31210,61,79147,2995,96,79147,43669,45,79147,3646,95
0.5,79147,37218,53,79147,61538,22,79147,52833,33,79147,34994,56,79147,27710,65,79147,54929,31,79147,6198,92,79147,49162,38,79147,28259,64,79147,39934,50,79147,1912,98,79147,16691,79,79147,2107,97,79147,32105,59,79147,1744,98
0.5,79147,43681,45,79147,50403,36,79147,30523,61,79147,59928,24,79147,29767,62,79147,29475,63,79147,27118,66,79147,70911,10,79147,34040,57,79147,52426,34,79147,997,99,79147,4717,94,79147,1561,98,79147,51692,35,79147,3923,95
0.5,79147,25454,68,79147,44289,44,79147,38252,52,79147,50305,36,79147,37423,53,79147,55009,30,79147,24043,70,79147,47990,39,79147,37085,53,79147,58497,26,79147,1599,98,79147,23245,71,79147,1733,98,79147,35627,55,79147,945,99
1.0,54851,20457,63,54851,22038,60,54851,7724,86,54851,34697,37,54851,34575,37,54851,37601,31,54851,30708,44,54851,46731,15,54851,44913,18,54851,44781,18,54851,6191,89,54851,9537,83,54851,6160,89,54851,30564,44,54851,4057,93
1.0,79147,8609,89,79147,47260,40,79147,19761,75,79147,51844,34,79147,61831,22,79147,53240,33,79147,40978,48,79147,58676,26,79147,61763,22,79147,57394,27,79147,18438,77,79147,29328,63,79147,5962,92,79147,42291,47,79147,8950,89
1.0,79147,18625,76,79147,23517,70,79147,3964,95,79147,63779,19,79147,35134,56,79147,59740,25,79147,42347,46,79147,72243,9,79147,56717,28,79147,69013,13,79147,8378,89,79147,15314,81,79147,3455,96,79147,60862,23,79147,3933,95
1.0,79147,20533,74,79147,55707,30,79147,2523,97,79147,46884,41,79147,56943,28,79147,66772,16,79147,38581,51,79147,55067,30,79147,72682,8,79147,63510,20,79147,10610,87,79147,46828,41,79147,1990,97,79147,46282,42,79147,22097,72
1.0,79147,27234,66,79147,49747,37,79147,25373,68,79147,64476,19,79147,55956,29,79147,61848,22,79147,32442,59,79147,61783,22,79147,63522,20,79147,65936,17,79147,4392,94,79147,30056,62,79147,9987,87,79147,53443,32,79147,20847,74
1.0,74233,23341,69,74233,39118,47,74233,12007,84,74233,61226,18,74233,28610,61,74233,61114,18,74233,53736,28,74233,50773,32,74233,63748,14,74233,65784,11,74233,12413,83,74233,38436,48,74233,9053,88,74233,37766,49,74233,9884,87
1.0,79147,15691,80,79147,37710,52,79147,26670,66,79147,61546,22,79147,34094,57,79147,67189,15,79147,51993,34,79147,55578,30,79147,65991,17,79147,71763,9,79147,3506,96,79147,23758,70,79147,4907,94,79147,44660,44,79147,10919,86
1.0,79147,25096,68,79147,45771,42,79147,15166,81,79147,58072,27,79147,36133,54,79147,58839,26,79147,18327,77,79147,65023,18,79147,51184,35,79147,68574,13,79147,7327,91,79147,31474,60,79147,4101,95,79147,55731,30,79147,8693,89
1.0,79147,11362,86,79147,46273,42,79147,10480,87,79147,48263,39,79147,52850,33,79147,61285,23,79147,48310,39,79147,65701,17,79147,59005,25,79147,67880,14,79147,4780,94,79147,32973,58,79147,5566,93,79147,37734,52,79147,4850,94
1.0,79147,19958,75,79147,37705,52,79147,23682,70,79147,43299,45,79147,47863,40,79147,75559,5,79147,54657,31,79147,70210,11,79147,54512,31,79147,66265,16,79147,10569,87,79147,35835,55,79147,10297,87,79147,37365,53,79147,11346,86
1.0,79147,28219,64,79147,31162,61,79147,32839,59,79147,48064,39,79147,50167,37,79147,64188,19,79147,43516,45,79147,62345,21,79147,59190,25,79147,72845,8,79147,13812,83,79147,23235,71,79147,9110,88,79147,43541,45,79147,13820,83
