alpha,Edge_0_initial,Edge_0_final,Edge_0_usage,Edge_1_initial,Edge_1_final,Edge_1_usage,Edge_2_initial,Edge_2_final,Edge_2_usage,Edge_3_initial,Edge_3_final,Edge_3_usage,Edge_4_initial,Edge_4_final,Edge_4_usage,Edge_5_initial,Edge_5_final,Edge_5_usage,Edge_6_initial,Edge_6_final,Edge_6_usage,Edge_7_initial,Edge_7_final,Edge_7_usage,Edge_8_initial,Edge_8_final,Edge_8_usage,Edge_9_initial,Edge_9_final,Edge_9_usage,Edge_10_initial,Edge_10_final,Edge_10_usage,Edge_11_initial,Edge_11_final,Edge_11_usage,Edge_12_initial,Edge_12_final,Edge_12_usage,Edge_13_initial,Edge_13_final,Edge_13_usage,Edge_14_initial,Edge_14_final,Edge_14_usage
0.5,74387,12611,83,74387,54314,27,74387,14526,80,74387,45216,39,74387,43751,41,74387,24983,66,74387,45689,39,74387,53082,29,74387,34926,53,74387,47130,37,74387,1297,98,74387,20435,73,74387,2020,97,74387,27898,62,74387,607,99
0.5,73159,39319,46,73159,30201,59,73159,30841,58,73159,57458,21,73159,32792,55,73159,46841,36,73159,16474,77,73159,64377,12,73159,32395,56,73159,66018,10,73159,383,99,73159,16935,77,73159,3568,95,73159,56591,23,73159,3371,95
0.5,79147,42354,46,79147,57945,27,79147,5563,93,79147,46576,41,79147,34406,57,79147,58304,26,79147,63780,19,79147,68735,13,79147,30226,62,79147,49128,38,79147,1588,98,79147,27660,65,79147,2097,97,79147,38855,51,79147,1895,98
0.5,65935,28891,56,65935,37642,43,65935,2661,96,65935,38578,41,65935,24554,63,65935,27921,58,65935,24764,62,65935,37614,43,65935,28950,56,65935,45761,31,65935,23,100,65935,12002,82,65935,1334,98,65935,30740,53,65935,1225,98
0.5,53911,13861,74,53911,38260,29,53911,22294,59,53911,35037,35,53911,33141,39,53911,27873,48,53911,28478,47,53911,48576,10,53911,20825,61,53911,27616,49,53911,1545,97,53911,7717,86,53911,2251,96,53911,32398,40,53911,1459,97
0.5,79147,36817,53,79147,49941,37,79147,23930,70,79147,51503,35,79147,37063,53,79147,59641,25,79147,13960,82,79147,39037,51,79147,72397,9,79147,58347,26,79147,2218,97,79147,31445,60,79147,2104,97,79147,25141,68,79147,173,100
0.5,79147,53902,32,79147,52025,34,79147,48769,38,79147,48880,38,79147,23676,70,79147,54307,31,79147,10352,87,79147,42658,46,79147,52545,34,79147,59443,25,79147,554,99,79147,32320,59,79147,1124,99,79147,24293,69,79147,1195,98
0.5,79147,34788,56,79147,41634,47,79147,24607,69,79147,47167,40,79147,45059,43,79147,60766,23,79147,28206,64,79147,60798,23,79147,37174,53,79147,67402,15,79147,1613,98,79147,26199,67,79147,2667,97,79147,42479,46,79147,4128,95
0.5,79147,45184,43,79147,72956,8,79147,44106,44,79147,38469,51,79147,43170,45,79147,59560,25,79147,16813,79,79147,56949,28,79147,40103,49,79147,38841,51,79147,761,99,79147,24680,69,79147,953,99,79147,16271,79,79147,1596,98
1.0,66293,12715,81,66293,38760,42,66293,15723,76,66293,45846,31,66293,26489,60,66293,45963,31,66293,7907,88,66293,16094,76,66293,32394,51,66293,49805,25,66293,4256,94,66293,1941,97,66293,5649,91,66293,5507,92,66293,1553,98
1.0,79147,16185,80,79147,16649,79,79147,20290,74,79147,62826,21,79147,22154,72,79147,48331,39,79147,27282,66,79147,75824,4,79147,52358,34,79147,59379,25,79147,1880,98,79147,5547,93,79147,2457,97,79147,59502,25,79147,3553,96
1.0,79147,18344,77,79147,29482,63,79147,2690,97,79147,32673,59,79147,26115,67,79147,27041,66,79147,35074,56,79147,60627,23,79147,24946,68,79147,40584,49,79147,2111,97,79147,4448,94,79147,3512,96,79147,31471,60,79147,3180,96
1.0,79147,52775,33,79147,40364,49,79147,41538,48,79147,50590,36,79147,23625,70,79147,44132,44,79147,3690,95,79147,47578,40,79147,45424,43,79147,58859,26,79147,1399,98,79147,1270,98,79147,3396,96,79147,34475,56,79147,2185,97
1.0,79147,30007,62,79147,25859,67,79147,1295,98,79147,28612,64,79147,27666,65,79147,38729,51,79147,24765,69,79147,59919,24,79147,13065,83,79147,49323,38,79147,1856,98,79147,3516,96,79147,1464,98,79147,20302,74,79147,3508,96
1.0,79147,5348,93,79147,41763,47,79147,5190,93,79147,25827,67,79147,649,99,79147,43205,45,79147,11960,85,79147,62000,22,79147,19535,75,79147,53475,32,79147,329,100,79147,10351,87,79147,2441,97,79147,11596,85,79147,2487,97
1.0,67747,23345,66,67747,44853,34,67747,12417,82,67747,46733,31,67747,21757,68,67747,23908,65,67747,4332,94,67747,27975,59,67747,18711,72,67747,33290,51,67747,1395,98,67747,1967,97,67747,2854,96,67747,19248,72,67747,2919,96
1.0,66384,1297,98,66384,6354,90,66384,33434,50,66384,47326,29,66384,16247,76,66384,48330,27,66384,12560,81,66384,36767,45,66384,21449,68,66384,34331,48,66384,1796,97,66384,4185,94,66384,4059,94,66384,36455,45,66384,2929,96
1.0,79147,17202,78,79147,36310,54,79147,12960,84,79147,39011,51,79147,17907,77,79147,36056,54,79147,26543,66,79147,26265,67,79147,29552,63,79147,46415,41,79147,807,99,79147,241,100,79147,1646,98,79147,11337,86,79147,74,100
1.0,79147,39555,50,79147,37632,52,79147,3457,96,79147,36483,54,79147,50889,36,79147,23862,70,79147,49551,37,79147,51622,35,79147,1590,98,79147,67022,15,79147,1375,98,79147,12232,85,79147,3483,96,79147,21676,73,79147,793,99
1.0,79147,7431,91,79147,63762,19,79147,7391,91,79147,46614,41,79147,51598,35,79147,68199,14,79147,29067,63,79147,45903,42,79147,71299,10,79147,69418,12,79147,2151,97,79147,43084,46,79147,3299,96,79147,16286,79,79147,3695,95
1.0,79147,55572,30,79147,59350,25,79147,4761,94,79147,30647,61,79147,1743,98,79147,61803,22,79147,30050,62,79147,39292,50,79147,53252,33,79147,40803,48,79147,2400,97,79147,14766,81,79147,5008,94,79147,12131,85,79147,3779,95
1.0,79147,55230,30,79147,32184,59,79147,17084,78,79147,59469,25,79147,50369,36,79147,46475,41,79147,17287,78,79147,32555,59,79147,15933,80,79147,35261,55,79147,155,100,79147,735,99,79147,2845,96,79147,12877,84,79147,25,100
1.0,79147,62496,21,79147,61799,22,79147,49445,38,79147,53406,33,79147,28921,63,79147,39428,50,79147,9936,87,79147,15004,81,79147,11946,85,79147,69701,12,79147,1105,99,79147,20608,74,79147,3479,96,79147,5093,94,79147,2076,97
1.0,79147,49990,37,79147,30375,62,79147,63425,20,79147,41447,48,79147,17481,78,79147,32653,59,79147,13406,83,79147,64736,18,79147,27923,65,79147,63323,20,79147,2717,97,79147,6488,92,79147,2045,97,79147,41260,48,79147,4591,94
1.0,79147,27534,65,79147,31485,60,79147,32267,59,79147,38607,51,79147,42739,46,79147,56807,28,79147,24600,69,79147,63116,20,79147,13605,83,79147,45220,43,79147,3599,95,79147,4331,95,79147,5031,94,79147,35881,55,79147,3293,96
1.0,56000,18733,67,56000,31791,43,56000,2933,95,56000,40786,27,56000,18990,66,56000,30308,46,56000,17396,69,56000,17820,68,56000,40351,28,56000,33043,41,56000,1052,98,56000,9835,82,56000,1893,97,56000,11869,79,56000,59,100
1.0,79147,3710,95,79147,33690,57,79147,7688,90,79147,52819,33,79147,40009,49,79147,47932,39,79147,61944,22,79147,51719,35,79147,20446,74,79147,44623,44,79147,3687,95,79147,3006,96,79147,6994,91,79147,43300,45,79147,2711,97
1.0,79147,2607,97,79147,45058,43,79147,3004,96,79147,42941,46,79147,25496,68,79147,65527,17,79147,27374,65,79147,55371,30,79147,49267,38,79147,56987,28,79147,1877,98,79147,13266,83,79147,6328,92,79147,24998,68,79147,6026,92
1.0,79147,76144,4,79147,63763,19,79147,1466,98,79147,33398,58,79147,1937,98,79147,62685,21,79147,27504,65,79147,45861,42,79147,63229,20,79147,61668,22,79147,1762,98,79147,33809,57,79147,980,99,79147,14931,81,79147,450,99
1.0,79147,19653,75,79147,37389,53,79147,7470,91,79147,73217,7,79147,47872,40,79147,49755,37,79147,62912,21,79147,49480,37,79147,38762,51,79147,28773,64,79147,136,100,79147,2516,97,79147,2153,97,79147,43550,45,79147,13,100
1.0,79147,29293,63,79147,28204,64,79147,25575,68,79147,74651,6,79147,12364,84,79147,45942,42,79147,21785,72,79147,71182,10,79147,65904,17,79147,34015,57,79147,4888,94,79147,5789,93,79147,6367,92,79147,69689,12,79147,5270,93
1.0,75461,32427,57,75461,48740,35,75461,21335,72,75461,39128,48,75461,27907,63,75461,46302,39,75461,20887,72,75461,71423,5,75461,35892,52,75461,34872,54,75461,2804,96,75461,7857,90,75461,1980,97,75461,35090,53,75461,1713,98
1.0,79147,35543,55,79147,26567,66,79147,4385,94,79147,69378,12,79147,26166,67,79147,6856,91,79147,32859,58,79147,37940,52,79147,36861,53,79147,58603,26,79147,4148,95,79147,2877,96,79147,6180,92,79147,36731,54,79147,2590,97
1.0,79147,28859,64,79147,57623,27,79147,24106,70,79147,29084,63,79147,59085,25,79147,56552,29,79147,28414,64,79147,59799,24,79147,22251,72,79147,41537,48,79147,192,100,79147,24251,69,79147,1870,98,79147,16714,79,79147,2507,97
1.0,79147,64162,19,79147,40537,49,79147,41000,48,79147,59626,25,79147,16843,79,79147,38052,52,79147,2561,97,79147,42012,47,79147,26887,66,79147,44649,44,79147,5194,93,79147,3237,96,79147,2922,96,79147,22491,72,79147,5507,93
1.0,79147,53804,32,79147,49876,37,79147,29214,63,79147,15370,81,79147,3150,96,79147,18005,77,79147,18358,77,79147,57783,27,79147,70980,10,79147,39364,50,79147,1740,98,79147,2263,97,79147,4808,94,79147,1474,98,79147,1758,98
1.0,79147,34219,57,79147,42439,46,79147,26517,66,79147,56501,29,79147,7324,91,79147,67922,14,79147,33943,57,79147,35109,56,79147,45978,42,79147,33071,58,79147,1818,98,79147,9583,88,79147,119,100,79147,17738,78,79147,1820,98
1.0,79147,50330,36,79147,34273,57,79147,29352,63,79147,17443,78,79147,26165,67,79147,65572,17,79147,39352,50,79147,57337,28,79147,38925,51,79147,70741,11,79147,7791,90,79147,16278,79,79147,6805,91,79147,15450,80,79147,3974,95
1.0,79147,7636,90,79147,38074,52,79147,23336,71,79147,58267,26,79147,48700,38,79147,60843,23,79147,21588,73,79147,60671,23,79147,3997,95,79147,55873,29,79147,2632,97,79147,41061,48,79147,5440,93,79147,39791,50,79147,6696,92
1.0,79147,43445,45,79147,73000,8,79147,24803,69,79147,35820,55,79147,8241,90,79147,38582,51,79147,35116,56,79147,36255,54,79147,50409,36,79147,46868,41,79147,2227,97,79147,3072,96,79147,3566,95,79147,8020,90,79147,2484,97
