,job_id,user,num_gpu,num_cpu,num_pod,duration,job_name,submit_time,group,gpu_type,wait_time,user_dur,group_dur,group_gpu_dur,read_count,write_count,num_inst,size,on_time,wasted,jct,resource,node
21699,21699,5,50,600,1.0,4630,d894fd1af131ed7a296716b5,0,2e2e109a336469dddff360fa0c293b50,MISC,8,345.0,4250.0,4390.0,7914.727272727273,995.821870701513,1,3009500,0,0,-1,"[50, 600]",
21751,21751,5,50,600,1.0,4835,d894fd1af131ed7a296716b5,0,8be7ba4051e9c549ab361a092773fb18,MISC,29,345.0,4058.0,4103.0,7914.727272727273,995.821870701513,1,3142750,0,0,-1,"[50, 600]",
21897,21897,7,50,600,1.0,244,4338499d3c24cc35be17b44c,0,e55af85d28b7276b2ceb0fc80f441e4c,MISC,9,436.0,260.0,261.0,3987.3481058112393,2143.128573005187,1,158600,0,0,-1,"[50, 600]",
22337,22337,1,50,600,1.0,57454,8ccb9c9fe88b53537e096dd9,0,aa0a45af3457d007a06d7251f52ec9d3,MISC,43,7180.0,53949.0,53901.0,1975.2819939932187,1470.2898442789435,1,37345100,0,0,-1,"[50, 600]",
22339,22339,1,50,600,1.0,53636,8ccb9c9fe88b53537e096dd9,0,5999fabf0078e1f308a88862ca7f5579,MISC,43,7180.0,54975.0,55140.0,1975.2819939932187,1470.2898442789435,1,34863400,0,0,-1,"[50, 600]",
22341,22341,1,50,600,1.0,53613,8ccb9c9fe88b53537e096dd9,0,b69eb9a2e219e62ab0f2ad378bbbf110,MISC,39,7180.0,53593.0,53593.0,1975.2819939932187,1470.2898442789435,1,34848450,0,0,-1,"[50, 600]",
22586,22586,24,100,1200,1.0,63,cab3e842ff37031c2792a850,0,b67efe86fdda4323f752ecab061fbd93,MISC,7,94.0,48.0,65.0,7280.055555555555,1080.6666666666667,1,81900,0,0,-1,"[100, 1200]",
23043,23043,27,300,3600,6.0,8464,5e71584c514d8e17662ffd10,0,4bf89e5a56a69c1a3b025c6814c8de9d,T4,6277,2203.5,2528.5,2528.5,3134.2693498452013,557.0465367965368,1,33009600,0,0,-1,"[300, 3600]",
23271,23271,10,500,5000,25.0,671,e8efa65aa22dff1e98ff15d7,0,dceacd0fb0a604347e7b5cd3ecb6b5b2,MISC,9,816.0,596.0,542.0,5275.162420382166,2387.6296296296296,1,3690500,0,0,-1,"[500, 5000]",
23425,23425,12,1000,12000,20.0,6126,3995073148156da8994ec8bb,0,d960e48dd7a1f0a8a40a5f7ad4098af5,MISC,6,225.0,9207.0,10285.0,4785.891705069124,1892.9022556390978,1,79638000,0,0,-1,"[1000, 12000]",
23486,23486,5,50,600,1.0,12714,d894fd1af131ed7a296716b5,0,b9bfce50012f64ab94c09a240c0a98fe,MISC,9,345.0,13411.0,13350.0,7914.727272727273,995.821870701513,1,8264100,0,0,-1,"[50, 600]",
23489,23489,5,50,600,1.0,12322,d894fd1af131ed7a296716b5,0,9df49547496daf8c1737a4d0896cc7a7,MISC,13,345.0,13364.5,13026.0,7914.727272727273,995.821870701513,1,8009300,0,0,-1,"[50, 600]",
23495,23495,5,50,600,1.0,12299,d894fd1af131ed7a296716b5,0,cf0321a8609be8e07d7fceb077ec292d,MISC,6,345.0,13482.0,13079.0,7914.727272727273,995.821870701513,1,7994350,0,0,-1,"[50, 600]",
23504,23504,5,50,600,1.0,12213,d894fd1af131ed7a296716b5,0,b4e9ee8219a0a3cd4e4585332405bdb0,MISC,5,345.0,13562.0,13437.0,7914.727272727273,995.821870701513,1,7938450,0,0,-1,"[50, 600]",
23506,23506,5,50,600,1.0,12419,d894fd1af131ed7a296716b5,0,cd7378e9a2f0210ede05013b326d98f7,MISC,10,345.0,13502.0,13267.0,7914.727272727273,995.821870701513,1,8072350,0,0,-1,"[50, 600]",
