alpha,Edge_0_initial,Edge_0_final,Edge_0_usage,Edge_1_initial,Edge_1_final,Edge_1_usage,Edge_2_initial,Edge_2_final,Edge_2_usage,Edge_3_initial,Edge_3_final,Edge_3_usage,Edge_4_initial,Edge_4_final,Edge_4_usage,Edge_5_initial,Edge_5_final,Edge_5_usage,Edge_6_initial,Edge_6_final,Edge_6_usage,Edge_7_initial,Edge_7_final,Edge_7_usage,Edge_8_initial,Edge_8_final,Edge_8_usage,Edge_9_initial,Edge_9_final,Edge_9_usage,Edge_10_initial,Edge_10_final,Edge_10_usage,Edge_11_initial,Edge_11_final,Edge_11_usage,Edge_12_initial,Edge_12_final,Edge_12_usage,Edge_13_initial,Edge_13_final,Edge_13_usage,Edge_14_initial,Edge_14_final,Edge_14_usage
0.5,79147,2338,97,79147,4213,95,79147,6993,91,79147,5263,93,79147,7598,90,79147,6613,92,79147,5829,93,79147,7430,91,79147,3258,96,79147,6631,92,79147,-102217,229,79147,-105310,233,79147,-37369,147,79147,-49839,163,79147,-153462,294
0.5,79147,1660,98,79147,6439,92,79147,6002,92,79147,2745,97,79147,4319,95,79147,4823,94,79147,4718,94,79147,4690,94,79147,3057,96,79147,2834,96,79147,-115286,246,79147,-116945,248,79147,-59382,175,79147,-71712,191,79147,-185884,335
0.5,79147,-238,100,79147,2611,97,79147,5270,93,79147,2877,96,79147,143,100,79147,5461,93,79147,3427,96,79147,5814,93,79147,1752,98,79147,1841,98,79147,-112280,242,79147,-131161,266,79147,-60142,176,79147,-64667,182,79147,-195671,347
0.5,79147,634,99,79147,3959,95,79147,5943,92,79147,4842,94,79147,6418,92,79147,6620,92,79147,-1748,102,79147,6615,92,79147,1971,98,79147,3613,95,79147,-109221,238,79147,-122963,255,79147,-56718,172,79147,-48611,161,79147,-182817,331
0.5,79147,3165,96,79147,-571,101,79147,3567,95,79147,1424,98,79147,3135,96,79147,3550,96,79147,1807,98,79147,4980,94,79147,5366,93,79147,5885,93,79147,-114968,245,79147,-120704,253,79147,-69787,188,79147,-58464,174,79147,-189688,340
0.5,79147,3131,96,79147,1001,99,79147,4232,95,79147,3713,95,79147,3565,95,79147,7026,91,79147,4535,94,79147,4038,95,79147,8343,89,79147,2317,97,79147,-109173,238,79147,-115113,245,79147,-62958,180,79147,-62833,179,79147,-172081,317
0.5,79147,6306,92,79147,6251,92,79147,6915,91,79147,530,99,79147,7858,90,79147,2264,97,79147,9775,88,79147,3922,95,79147,2337,97,79147,66,100,79147,-110495,240,79147,-128781,263,79147,-46862,159,79147,-61531,178,79147,-182762,331
0.5,79147,4595,94,79147,5115,94,79147,3253,96,79147,4672,94,79147,3534,96,79147,4673,94,79147,7475,91,79147,5927,93,79147,7946,90,79147,2885,96,79147,-109477,238,79147,-72892,192,79147,-52590,166,79147,-60634,177,79147,-154413,295
0.5,79147,5585,93,79147,3842,95,79147,-1840,102,79147,5715,93,79147,277,100,79147,3629,95,79147,-1016,101,79147,5589,93,79147,2871,96,79147,4699,94,79147,-126767,260,79147,-121231,253,79147,-62145,179,79147,-50929,164,79147,-193322,344
0.5,79147,3784,95,79147,346,100,79147,6198,92,79147,5585,93,79147,-109,100,79147,5672,93,79147,483,99,79147,4514,94,79147,957,99,79147,10858,86,79147,-112425,242,79147,-107935,236,79147,-58219,174,79147,-57145,172,79147,-175011,321
0.5,62612,2151,97,62612,4488,93,62612,6642,89,62612,5150,92,62612,4543,93,62612,4429,93,62612,3472,94,62612,4156,93,62612,5689,91,62612,-444,101,62612,-64427,203,62612,-94149,250,62612,-40220,164,62612,-53307,185,62612,-133204,313
0.5,79147,651,99,79147,1848,98,79147,9582,88,79147,6425,92,79147,7348,91,79147,7639,90,79147,3566,95,79147,2962,96,79147,6891,91,79147,1872,98,79147,-105807,234,79147,-109509,238,79147,-63819,181,79147,-51683,165,79147,-174898,321
0.5,79147,5355,93,79147,5323,93,79147,3014,96,79147,7059,91,79147,6207,92,79147,2756,97,79147,2797,96,79147,6646,92,79147,6358,92,79147,1494,98,79147,-120368,252,79147,-101939,229,79147,-65422,183,79147,-65443,183,79147,-186663,336
0.5,79147,9142,88,79147,7334,91,79147,2382,97,79147,4562,94,79147,7782,90,79147,7525,90,79147,5507,93,79147,3716,95,79147,5569,93,79147,6026,92,79147,-124299,257,79147,-129495,264,79147,-59357,175,79147,-61525,178,79147,-205651,360
0.5,79147,5835,93,79147,5309,93,79147,3089,96,79147,6174,92,79147,5897,93,79147,9032,89,79147,6633,92,79147,6194,92,79147,5139,94,79147,6366,92,79147,-107214,235,79147,-118332,250,79147,-61395,178,79147,-59789,176,79147,-191185,342
1.0,79147,-10255,113,79147,-18961,124,79147,-6909,109,79147,2304,97,79147,-23810,130,79147,2891,96,79147,6017,92,79147,-3972,105,79147,-8680,111,79147,-9122,112,79147,-135917,272,79147,-149098,288,79147,-72125,191,79147,-75496,195,79147,-195200,347
1.0,79147,2052,97,79147,-8955,111,79147,2012,97,79147,-5934,107,79147,1474,98,79147,7572,90,79147,-4358,106,79147,-17580,122,79147,3365,96,79147,-9080,111,79147,-95439,221,79147,-135716,271,79147,-59444,175,79147,-84439,207,79147,-204041,358
1.0,79147,1127,99,79147,-4270,105,79147,-16573,121,79147,-11910,115,79147,4394,94,79147,8696,89,79147,-953,101,79147,-9751,112,79147,-528,101,79147,2485,97,79147,-129455,264,79147,-122543,255,79147,-88759,212,79147,-68872,187,79147,-183428,332
